nhgis0003_ds215_20155_2015_zcta,,
GISJOIN,NAME_E,ADNKE001
GIS Join Match Code,Estimates: Area Name,Estimates: Median household income in the past 12 months (in 2015 inflation-adjusted dollars)
G00601,601,10816
G00602,602,16079
G00603,603,16804
G00606,606,12512
G00610,610,17475
G00612,612,17229
G00616,616,13705
G00617,617,15361
G00622,622,15689
G00623,623,16593
G00624,624,15573
G00627,627,17532
G00631,631,7854
G00637,637,14767
G00638,638,12722
G00641,641,16022
G00646,646,26861
G00647,647,13764
G00650,650,14611
G00652,652,17500
G00653,653,13593
G00656,656,15037
G00659,659,18687
G00660,660,20598
G00662,662,16016
G00664,664,15922
G00667,667,13222
G00669,669,12009
G00670,670,14031
G00674,674,18135
G00676,676,14374
G00677,677,16792
G00678,678,15347
G00680,680,14567
G00682,682,15363
G00683,683,14913
G00685,685,14343
G00687,687,16536
G00688,688,14213
G00690,690,20274
G00692,692,17987
G00693,693,17156
G00694,694,11198
G00698,698,14766
G00703,703,14680
G00704,704,13756
G00705,705,17238
G00707,707,19541
G00714,714,15349
G00715,715,12027
G00716,716,18331
G00717,717,11664
G00718,718,18614
G00719,719,17686
G00720,720,14144
G00723,723,13284
G00725,725,19961
G00727,727,29995
G00728,728,16949
G00729,729,20574
G00730,730,15097
G00731,731,15141
G00735,735,20925
G00736,736,20760
G00738,738,19708
G00739,739,23266
G00740,740,13750
G00741,741,21690
G00745,745,22577
G00751,751,15091
G00754,754,16571
G00757,757,15674
G00765,765,17934
G00766,766,17611
G00767,767,15666
G00769,769,18390
G00771,771,18827
G00772,772,16734
G00773,773,18170
G00775,775,18547
G00777,777,19229
G00778,778,29317
G00780,780,22090
G00782,782,12757
G00783,783,14863
G00784,784,16141
G00786,786,17039
G00791,791,19175
G00794,794,14238
G00795,795,18863
G00901,901,16870
G00906,906,34625
G00907,907,29758
G00909,909,15540
G00911,911,30877
G00912,912,18473
G00913,913,6478
G00915,915,13332
G00917,917,14371
G00918,918,22405
G00920,920,25000
G00921,921,18272
G00923,923,14773
G00924,924,18543
G00925,925,10332
G00926,926,32636
G00927,927,30507
G00934,934,65938
G00936,936,
G00949,949,24400
G00950,950,
G00951,951,
G00952,952,17697
G00953,953,30278
G00956,956,22411
G00957,957,23353
G00959,959,27478
G00960,960,
G00961,961,29180
G00962,962,16035
G00965,965,16333
G00966,966,50772
G00968,968,46206
G00969,969,52970
G00971,971,21854
G00976,976,29368
G00979,979,36592
G00982,982,25557
G00983,983,26695
G00985,985,22995
G00987,987,31698
G01001,1001,60161
G01002,1002,50540
G01003,1003,
G01005,1005,68786
G01007,1007,76881
G01008,1008,70417
G01009,1009,40833
G01010,1010,87961
G01011,1011,68000
G01012,1012,57019
G01013,1013,40774
G01020,1020,55665
G01022,1022,51500
G01026,1026,50625
G01027,1027,58324
G01028,1028,81655
G01029,1029,44545
G01030,1030,63026
G01031,1031,39750
G01032,1032,65625
G01033,1033,87222
G01034,1034,81688
G01035,1035,65625
G01036,1036,81018
G01037,1037,89118
G01038,1038,66607
G01039,1039,71167
G01040,1040,36608
G01050,1050,62446
G01053,1053,59948
G01054,1054,83333
G01056,1056,63548
G01057,1057,68156
G01060,1060,51651
G01062,1062,67939
G01063,1063,
G01066,1066,
G01068,1068,80313
G01069,1069,54141
G01070,1070,55938
G01071,1071,73611
G01072,1072,69250
G01073,1073,79858
G01074,1074,58713
G01075,1075,60248
G01077,1077,80444
G01079,1079,42845
G01080,1080,42946
G01081,1081,50393
G01082,1082,49500
G01083,1083,41600
G01084,1084,49444
G01085,1085,61546
G01086,1086,
G01088,1088,61750
G01089,1089,54585
G01092,1092,56111
G01093,1093,82125
G01094,1094,17708
G01095,1095,90307
G01096,1096,70980
G01097,1097,
G01098,1098,72917
G01103,1103,15558
G01104,1104,28858
G01105,1105,16845
G01106,1106,109804
G01107,1107,22288
G01108,1108,35119
G01109,1109,33797
G01118,1118,59232
G01119,1119,47702
G01128,1128,69145
G01129,1129,60992
G01151,1151,33419
G01199,1199,
G01201,1201,44509
G01220,1220,46210
G01222,1222,78208
G01223,1223,66012
G01224,1224,36384
G01225,1225,55750
G01226,1226,47324
G01229,1229,29886
G01230,1230,56933
G01235,1235,63182
G01236,1236,70135
G01237,1237,73659
G01238,1238,59921
G01240,1240,49149
G01242,1242,54120
G01243,1243,73750
G01244,1244,
G01245,1245,54297
G01247,1247,40465
G01253,1253,68846
G01254,1254,86944
G01255,1255,58906
G01256,1256,53036
G01257,1257,47167
G01258,1258,66198
G01259,1259,63750
G01260,1260,74844
G01262,1262,41400
G01264,1264,76250
G01266,1266,79188
G01267,1267,73112
G01270,1270,71250
G01301,1301,49778
G01330,1330,75417
G01331,1331,51849
G01337,1337,62965
G01338,1338,71375
G01339,1339,54938
G01340,1340,50250
G01341,1341,77778
G01342,1342,101598
G01343,1343,82344
G01344,1344,58125
G01346,1346,56250
G01347,1347,38696
G01349,1349,61957
G01350,1350,33750
G01351,1351,73051
G01354,1354,73750
G01355,1355,65682
G01360,1360,63491
G01364,1364,39273
G01366,1366,63625
G01367,1367,52875
G01368,1368,57841
G01370,1370,55076
G01373,1373,67561
G01375,1375,47688
G01376,1376,41864
G01378,1378,55625
G01379,1379,44750
G01420,1420,48724
G01430,1430,87615
G01431,1431,82019
G01432,1432,72048
G01434,1434,77014
G01436,1436,66113
G01438,1438,61996
G01440,1440,43818
G01450,1450,116642
G01451,1451,126667
G01452,1452,81757
G01453,1453,58946
G01460,1460,111680
G01462,1462,80572
G01463,1463,80524
G01464,1464,67896
G01467,1467,183750
G01468,1468,62292
G01469,1469,79315
G01473,1473,88902
G01474,1474,96349
G01475,1475,59661
G01501,1501,73070
G01503,1503,88816
G01504,1504,73679
G01505,1505,102905
G01506,1506,63920
G01507,1507,87294
G01510,1510,62805
G01515,1515,72375
G01516,1516,84985
G01518,1518,54222
G01519,1519,108879
G01520,1520,97650
G01521,1521,75000
G01522,1522,101227
G01523,1523,98918
G01524,1524,62736
G01525,1525,
G01527,1527,71151
G01529,1529,81438
G01531,1531,80000
G01532,1532,107797
G01534,1534,96016
G01535,1535,68232
G01536,1536,83917
G01537,1537,72258
G01540,1540,65366
G01541,1541,114167
G01542,1542,84271
G01543,1543,94028
G01545,1545,94273
G01550,1550,43870
G01560,1560,71797
G01561,1561,63643
G01562,1562,62901
G01564,1564,87039
G01566,1566,94167
G01568,1568,111222
G01569,1569,90313
G01570,1570,48057
G01571,1571,66339
G01581,1581,101467
G01583,1583,68648
G01585,1585,61029
G01588,1588,65926
G01590,1590,108547
G01602,1602,59770
G01603,1603,43329
G01604,1604,48212
G01605,1605,36429
G01606,1606,63646
G01607,1607,45170
G01608,1608,22789
G01609,1609,43729
G01610,1610,31019
G01611,1611,83802
G01612,1612,92500
G01701,1701,91430
G01702,1702,51985
G01718,1718,135982
G01719,1719,102699
G01720,1720,124836
G01721,1721,102911
G01730,1730,113729
G01731,1731,81667
G01740,1740,147446
G01741,1741,166111
G01742,1742,133880
G01745,1745,118125
G01746,1746,108869
G01747,1747,95268
G01748,1748,138551
G01749,1749,75985
G01752,1752,71790
G01754,1754,88333
G01756,1756,108942
G01757,1757,70162
G01760,1760,100922
G01770,1770,155956
