,median_by_zip
0,60839.0
1,54561.0
2,90588.0
3,90625.0
4,145262.0
5,120970.0
6,46250.0
7,55845.0
8,58429.0
9,96134.0
10,79579.0
11,92039.0
12,90588.0
13,145262.0
14,77170.0
15,68342.0
16,96630.0
17,81330.0
18,45078.0
19,46250.0
20,53836.0
21,126106.0
22,74144.0
23,52713.0
24,52713.0
25,45078.0
26,73794.0
27,103816.0
28,92039.0
29,106468.0
30,102025.0
31,53836.0
32,92316.0
33,92316.0
34,82134.0
35,92039.0
36,106468.0
37,77170.0
38,71555.0
39,73330.0
40,145262.0
41,66323.0
42,120970.0
43,73794.0
44,82134.0
45,96630.0
46,72303.0
47,79579.0
48,92039.0
49,71820.0
50,46871.0
51,73330.0
52,92316.0
53,92316.0
54,49647.0
55,49647.0
56,89352.0
57,89352.0
58,86005.0
59,93918.0
60,66323.0
61,46871.0
62,66323.0
63,92039.0
64,60563.0
65,62633.0
66,102374.0
67,71555.0
68,89352.0
69,102374.0
70,88940.0
71,81694.0
72,54561.0
73,96134.0
74,89352.0
75,150301.0
76,86005.0
77,77781.0
78,53836.0
79,71563.0
80,96134.0
81,96134.0
82,55725.0
83,93918.0
84,54561.0
85,73794.0
86,74144.0
87,73330.0
88,73330.0
89,90625.0
90,72303.0
91,87486.0
92,72303.0
93,92316.0
94,92316.0
95,126106.0
96,49591.0
97,72303.0
98,96134.0
99,93380.0
100,75155.0
101,92316.0
102,137900.0
103,102374.0
104,82134.0
105,82134.0
106,92316.0
107,55845.0
108,137900.0
109,106468.0
110,102025.0
111,81330.0
112,96134.0
113,53143.0
114,71555.0
115,92316.0
116,81330.0
117,60839.0
118,49188.0
119,62633.0
120,92938.0
121,81694.0
122,92316.0
123,55725.0
124,106468.0
125,102374.0
126,60839.0
127,72303.0
128,81330.0
129,120814.0
130,74144.0
131,102025.0
132,106468.0
133,100725.0
134,77170.0
135,46250.0
136,46250.0
137,90588.0
138,54561.0
139,77170.0
140,73794.0
141,113778.0
142,82134.0
143,53836.0
144,113778.0
145,137900.0
146,85957.0
147,102025.0
148,49591.0
149,81330.0
150,81330.0
151,77170.0
152,46250.0
153,113778.0
154,92039.0
155,82134.0
156,73330.0
157,72303.0
158,62842.0
159,93918.0
160,58429.0
161,81694.0
162,150301.0
163,81694.0
164,102025.0
165,81694.0
166,55845.0
167,113778.0
168,81694.0
169,53836.0
170,66323.0
171,72303.0
172,53836.0
173,105449.0
174,113778.0
175,60563.0
176,62633.0
177,60563.0
178,62842.0
179,92938.0
180,52713.0
181,68342.0
182,81694.0
183,96134.0
184,106468.0
185,105449.0
186,72303.0
187,145262.0
188,81330.0
189,106468.0
190,81694.0
191,82134.0
192,126106.0
193,53836.0
194,75839.0
195,72303.0
196,53143.0
197,68342.0
198,112308.0
199,96134.0
200,73330.0
201,89352.0
202,77170.0
203,72303.0
204,93918.0
205,126106.0
206,106468.0
207,77781.0
208,66323.0
209,53836.0
210,96134.0
211,49647.0
212,145262.0
213,71555.0
214,55725.0
215,49188.0
216,126106.0
217,58429.0
218,62633.0
219,92938.0
220,150301.0
221,55845.0
222,76961.0
223,52713.0
224,96134.0
225,58429.0
226,120970.0
227,72303.0
228,67793.0
229,120970.0
230,66323.0
231,93918.0
232,72303.0
233,112308.0
234,53143.0
235,105449.0
236,71563.0
237,60563.0
238,137900.0
239,46250.0
240,46250.0
241,68342.0
242,92039.0
243,45078.0
244,81330.0
245,72303.0
246,145262.0
247,53848.0
248,45078.0
249,81330.0
250,49591.0
251,82134.0
252,93380.0
253,55725.0
254,52713.0
255,92039.0
256,53848.0
257,93918.0
258,93380.0
259,106468.0
260,103816.0
261,55845.0
262,145262.0
263,62633.0
264,71820.0
265,67793.0
266,53848.0
267,92039.0
268,72303.0
269,102374.0
270,137900.0
271,53836.0
272,46250.0
273,60839.0
274,87486.0
275,67793.0
276,82134.0
277,90588.0
278,96134.0
279,55725.0
280,67793.0
281,60839.0
282,60563.0
283,120970.0
284,90588.0
285,52713.0
286,106545.0
287,81694.0
288,113778.0
289,113778.0
290,66323.0
291,81694.0
292,71555.0
293,73330.0
294,68342.0
295,150301.0
296,89352.0
297,93918.0
298,53143.0
299,42965.0
300,145262.0
301,46250.0
302,92316.0
303,96134.0
304,66323.0
305,103816.0
306,92938.0
307,145262.0
308,49647.0
309,73330.0
310,62633.0
311,120814.0
312,73794.0
313,113778.0
314,113778.0
315,82134.0
316,53836.0
317,89352.0
318,81330.0
319,66323.0
320,106468.0
321,102025.0
322,71555.0
323,72303.0
324,58429.0
325,58429.0
326,137900.0
327,75155.0
328,66323.0
329,88940.0
330,49647.0
331,55845.0
332,62842.0
333,81330.0
334,126106.0
335,96134.0
336,106545.0
337,81330.0
338,53836.0
339,60839.0
340,106468.0
341,93918.0
342,54561.0
343,71820.0
344,120814.0
345,60839.0
346,60839.0
